UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13
496,MN,MNG,496,,,,Mongolia,46.8625,103.8467,Mongolia,3278292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3112,4926,6808,6808,6808,9531,9531,13200,13200,13200,13200,13200,20976,30446,48265,67489,84017,100000,118294,126449,139636,171535,189969,204121,209278,209278,223444,256979,256979,256979,276068,276068,279069,290108,300366,311262,323690,336758,376373,414382,466946,466946,569825,599132,599132,616906,616906,627168,627168,630516,632812,634240,634240,634240,637415,637415,670842,670842,670842,678692,707838,1007030,1080571,1138662,1208619,1296538,1398592,1532522,1661497,1756434,1946350,2086853,2154623,2213376,2271109,2309864,2347229,2372848
499,ME,MNE,499,,,,Montenegro,42.7087,19.3744,Montenegro,628062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1113,1288,1288,1288,1531,1531,1927,1927,2250,2406,2406,3062,3062,3062,3062,3374,3374,3793,3793,5021,5730,6085,6849,7298,7298,7298,8669,10809,12929,14739,16451,18661,20140,20373,22391,23046,25003,26972,29710,31631,34335,36857,38541,39812,41372,42450,42866,44979,46917,49293,50809,52390,54626,55497,56423,57462,58150,58731,59307,59911,60044,60185,60431,60816,61745,63064,63064,63820,65517,85316,94291,94291,102853,109507,114570,120795,125646,130545
504,MA,MAR,504,,,,Morocco,31.7917,-7.0926,Morocco,36910558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,126000,200081,257291,308398,351723,408235,463966,463966,463966,550149,615181,746116,855318,1112103,1388539,1388539,1707091,1904169,2081013,2233123,2362150,2461192,2461192,2575684,2667091,2948945,3204105,3424295,3597903,3597903,3801650,3951325,4105862,4233129,4377629,4492557,4492557,4613292,4734200,4934283,5102685,5394092,5682508,5682508,5992783,6197382,6360732,6360732,6611161,6687548,6687548,6781503,6858400,7128976,7360398,7525286,7634475,7634475,7758500,7882300,7994600,8096454,8171651,8240870,8240870,8303056,8375241,8448106,8509229,8552304,8606571,8635238,8635238,8650872,8696100,8728449,8763819,8841456,8841456,8860662,8878445,8901652,8914956,8941120,8941120,8941120,8951316,9041985,9239973,9239973,9315054,9315844,9315844,9389397,9558639,9680954,9680954,9793139,9864561,9864561,10131795,10317649,10436046,10436046
508,MZ,MOZ,508,,,,Mozambique,-18.6657,35.5296,Mozambique,31255435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,46439,46439,46439,46439,46439,46439,46439,46439,46439,46439,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305,57305
516,,NAM,516,,,,Namibia,-22.9576,18.4904,Namibia,2540916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,152,152,152,152,152,152,1501,1851,1851,2094,2094,2094,2094,2094,2526,2526,2526,2598,2875,3122,3282,3587,3993,4493,4620,4748,5699,6237,7417,9955,12550,12833,12833,12833,20005,20005,21707,25048,25048,25048,25048,29397,34657,36417,36417,36417,36417,36417,36417,36417
524,NP,NPL,524,,,,Nepal,28.1667,84.25,Nepal,29136808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113175,113175,113175,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1700000,1700000,1806236,1811658,1835263,1841124,1850570,1850570,1873377,1873377,1885755,1900583,1910209,1924703,1938679,1961992,1966506,1978239,1989248,1989248,2006436,2019177,2051440,2091511,2091511,2091511,2091511,2091511,2091511,2091511,2091511,2091511,2453512,2453512,2453512,2453512,2453512,2453512,2453512
528,NL,NLD,528,,,,Netherlands,52.1326,5.2913,Netherlands,17134873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,15000,27000,30000,34000,35500,45000,47000,47000,55000,55000,77000,77000,77000,100000,100000,135000,135000,146612,146612,146612,146612,146612,146612,146612,176286,343526,343526,343526,343526,356517,382975,414198,571145,571145,571145,571145,571145,571145,571145,783438,783438,783438,783438,783438,783438,783438,1014039,1014039,1014039,1014039,1014039,1014039,1014039,1336428,1336428,1336428,1336428,1336428,1336428,1336428,1619839,1619839,1619839,1619839,1619839,1619839,1619839,1887726,1887726,1887726,1887726,1887726,1887726,1887726,2097980,2097980,2097980,2097980,2097980,2097980,2097980,2378552,2378552,2378552,2378552,2378552,2378552,2378552,2863986,2863986,2863986,2863986,2863986,2863986,2863986,3783912,3783912,3783912,3783912,3783912,3783912,3783912,4578432,4578432,4578432,4873624,4952724,4952724,5039385,5128167,5207495,5293851,5265860,5265860,5265860,5265860,5651843,5651843,5651843,5651843,5651843,5651843,5651843,5651843,5651843,6462496,6688371,6982991
554,NZ,NZL,554,,,,New Zealand,-40.9006,174.886,New Zealand,4822233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,95,163,611,969,1784,2883,4493,5835,6719,8130,9622,11605,13237,14515,15117,15630,16702,18127,19441,20777,21823,22578,23168,25050,27212,29221,31284,33746,35019,36604,38854,41545,45100,48457,53114,55136,56300,61217,66884,73649,80093,82110,83857,84809,86023,90978,98228,106452,113790,117746,121303,129014,137415,145428,154047,163294,168203,170263,177358,186383,196291,206277,217514,221948,224321,226566,236417,247267,259356,272241,277647,281161,291665,304900,304900,304900,304900,304900,304900,304900,388877,388877,388877
,,,,,,,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61625,61625,61625,61625,61625,61625,61625,61625,61625,61625,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130,135130
566,NG,NGA,566,,,,Nigeria,9.082,8.6753,Nigeria,206139587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,277458,277458,277458,277458,513626,513626,513626,718412,818865,818865,818865,818865,818865,964387,964387,964387,964387,964387,964387,964387,964387,1043737,1051096,1081548,1081548,1096727,1101827,1114408,1133325,1148168,1158582,1167837,1171515,1175285,1181941,1191563,1191563,1191563,1222109,1229733,1236815,1246845,1266742,1289773,1615787,1653292,1665698,1665698,1713306,1713306,1748242
807,MK,MKD,807,,,,North Macedonia,41.6086,21.7453,North Macedonia,2083380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,7735,7735,8398,9003,9003,12052,12052,15419,18261,21333,24020,24020,26014,29263,31460,31460,38626,38626,38971,41421,41421,43032,44974,44974,49804,51853,53193,55926,55926,55926,61603,61603,61603,61603,66086,74076,74076,74076,97004,107978,121181,145043,160425,175348
578,NO,NOR,578,,,,Norway,60.472,8.4689,Norway,5421242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,606,1674,2098,2170,2177,2183,2183,2201,5610,14612,21169,22782,22914,23021,23363,27653,37333,45757,50230,50963,51312,52854,58167,68811,77268,80524,81242,81602,81671,85785,104279,121321,126976,129214,129540,129701,136979,168001,198176,208000,223512,225067,225691,226732,235548,267256,296825,308508,309714,309829,311414,319713,351818,381585,397142,397826,397993,400715,411690,445239,481626,499978,500630,501330,507359,521762,557614,592451,610959,611843,611943,616943,633724,672205,700898,711573,711927,712044,712583,718969,743776,766324,774166,774648,774907,776503,790618,833555,874759,893351,894079,894416,899213,935539,979454,990361,995372,995649,996084,997475,1018751,1080957,1142439,1170480,1171584,1172147,1175892,1201809,1270339,1336737,1366485,1368611,1369904,1376420,1396663,1458263,1511211,1530695,1531082,1531370,1534103,1559195,1641678,1716118,1749350,1751057,1752289,1756739,1778539,1856556,1925702,1956502,1957478,1958035,1958035,1973262,2021310,2108988
512,OM,OMN,512,,,,Oman,21.5126,55.9233,Oman,5106622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,3363,5043,6516,6516,7231,8826,10728,12751,14005,14911,14980,15023,15907,18287,20649,22749,24204,24204,24773,25446,26758,28049,29548,29548,29548,30675,32765,34606,36206,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,39146,41192,43233,45065,46829,47198,48819,50100,56847,58255,59878,61971,62487,64538,66103,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,94518,98168,98168,98168,98168,98168,105003,105003,109844,109844,109844,109844,109844,120837,120837,129198,129198,129198,129198,129198,139897,139897,151512,151512,151512,151512,151512,171055,171055,171055,171055,171055,171055,171055,188029,188029,192808,192808,192808,192808,192808,217582,217582,244821,244821,244821,244821,299258,307494,307494,315691,315691,315691,315691,315691,315691,315691,326269,326269,326269,326269,326269,326269,326269,326269,326269
586,PK,PAK,586,,,,Pakistan,30.3753,69.3451,Pakistan,220892331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,27228,27228,27228,27228,27228,27228,27228,52768,52768,52768,52768,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,800000,800000,800000,800000,800000,800000,936383,936383,1114000,1114000,1114000,1114000,1114000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2967870,3150122,3320304,3320304,3320304,3320304,3320304,3764244,3764244,3895291
,,,,,,,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17523,18015,18549,19473,19475,19501,19870,20147,20335,20481,20481,20481,20587,20636,20637,20795,20796,20806,20806,20806,20806,20806
591,PA,PAN,591,,,,Panama,8.538,-80.7821,Panama,4314768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2728,5081,5594,6420,6420,6597,7497,8546,8723,8772,8772,8772,10549,12013,12362,12428,12441,12441,12441,12441,12806,12806,12806,12806,12806,12806,12806,12806,12806,30776,40830,45535,47848,61168,64636,79989,89419,106667,114529,119176,122189,132610,136343,150411,166931,194715,208415,211751,214492,224765,233365,245177,245177,252313,253800,259843,266298,287086,287086,297165,309324,309660,309660,320079,329822,342716,352876,357431,358277,364079,364079,373491,373491,373491,373491,387580,408618,440787,456929,478146,490911,498584,505005,518629,529017,550860,557510,560691,564725,565471,569267,574212,590703,595807,608957,619190,622720,640507,643939,672159,672846,672846,687653,692764,695783,714978,731189,758563,769842,780569,780569,778174,779163,779163
,,,,,,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,250,250,250,250,250,250,250,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3000,3000
600,PY,PRY,600,,,,Paraguay,-23.4425,-58.4438,Paraguay,7132530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,545,1001,1361,1521,1521,1521,1521,1631,1696,1726,1726,1726,1776,1877,1927,2928,4783,7998,10106,11851,12438,13808,15105,15949,16345,16346,16346,16400,20745,26591,32615,37788,40139,41080,44530,46967,48378,48378,48448,48449,48755,48757,49332,50165,52505,56148,60836,63858,65872,71858,80932,89241,96683,102471,103717,104050,106674,108931,110742,112407,113781,114059,114214,115199,120148,127122,136347,143437,143441,143441,143441,143441,143441,143441,143441,143441,143441,175127,175127,175127
604,PE,PER,604,,,,Peru,-9.19,-75.0152,Peru,32971846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3842,20437,54285,86626,105525,110702,122301,129781,133658,140985,170822,196761,201131,229388,256183,278491,294066,309769,316628,317639,326915,335860,354373,385419,421003,439197,441449,471455,497798,515375,529176,554394,587860,591155,636011,681734,727108,769340,810347,834800,836475,853361,877502,899045,916479,936927,950832,953103,970713,996739,1021343,1027751,1031534,1039934,1040630,1055899,1084466,1113851,1157589,1190219,1202696,1202780,1216428,1237652,1259911,1282776,1323650,1366114,1396909,1407280,1422721,1441061,1451596,1479216,1508418,1523752,1542044,1568972,1616043,1668191,1754950,1811212,1849439,1901435,1922990,1944277,1977466,2011608,2063647,2087463,2087463,2143446,2199719,2261096
608,PH,PHL,608,,,,Philippines,12.8797,121.774,Philippines,109581085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,756,2793,2793,10000,10000,25138,29266,44000,89077,114500,114500,114500,193492,193492,215997,216794,269583,269583,269583,336656,336656,336656,508332,508332,508332,508332,656331,656331,656331,738913,738913,738913,738913,738913,738913,855457,922898,922898,922898,922898,922898,1139644,1202297,1255716,1255716,1255716,1255716,1456793,1456793,1477757,1562563,1612420,1612420,1612420,1753465,1753465,1767940,1809807,1809801,1880975,1919851,1941196,1941196,1999214,1999214,2129185,2129185,2314377,2395494,2408781,2408781,2542066,2542066,2542066
616,PL,POL,616,,,,Poland,51.9194,19.1451,Poland,37846605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,6300,36300,47600,47600,50391,50833,92220,140226,160359,188956,198787,200022,203053,257834,309620,369212,410480,436963,457303,469466,495164,541229,591785,644999,684277,701164,707474,776987,905457,1008253,1097036,1141081,1156931,1176904,1231716,1342435,1461578,1566604,1617764,1641158,1656708,1656708,1656708,1773715,1773715,1993739,2071009,2107089,2122245,2159146,2230117,2384794,2556999,2660776,2697815,2715159,2759436,2759436,2990683,2990683,3269812,3269812,3336354,3383426,3383426,3619316,3791577,3791577,3951104,3951104,4004734,4086863,4086863,4391256,4487273,4517537,4530783,4557060,4605929,4738902,4893320,4983494,5014167,5026182,5077928,5193835,5381726,5381726,5755551,5755551,5882581,5882581,6081824,6270976,6462769,6614819,6646103,6658909,6665384,6665384,6999652,7263426,7475010,7635264,7687617,7784384,7970164,7970164,8484815,8484815,8484815,8484815,9006539,9210419,9495317,9806966,10069710,10069710,10343967,10343967,10740169,11081369,11470800,11470800,11877060,11914550,11995786,12190121,12614827,13034348,13409463,13670541,13764238,13764238,13957627,14705512,15144771
61601,PL,POL,616,,,Dolnoslaskie,Poland,51.13399999999999,16.8842,"Dolnoslaskie, Poland",2901225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517811,532957,546902,557868,560264,560264,562220,562220,562220,612224,630814,643274,649943,658426,658426,673446,716368,734088,745558,750294,759738,776289,776289,827720,848446,848446,871749,883491,905090,,963718,963718,992394,997766,1003474,1022570,1050915,1050915,1050915,1050915,1050915,1050915,1050915,1205450,1239462
61602,PL,POL,616,,,Kujawsko-pomorskie,Poland,53.1648,18.4834,"Kujawsko-pomorskie, Poland",2077775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301801,310552,320819,327249,329222,329222,329277,329277,329277,360131,370300,377275,378573,383422,383422,393874,420834,432806,440700,442371,448413,460170,460170,490775,505050,505050,519196,526443,540052,,576305,576305,597209,600217,601810,614649,634809,634809,634809,634809,634809,634809,634809,748142,769498
61605,PL,POL,616,,,Lodzkie,Poland,51.4635,19.1727,"Lodzkie, Poland",2466322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401775,413941,424982,435129,437669,437669,438019,438019,438019,478081,492655,501148,504306,510191,510191,522387,557332,572228,582054,584520,591579,604724,604724,642257,658199,658199,675498,683661,701356,,748954,748954,776080,780002,783263,799225,825501,825501,825501,825501,825501,825501,825501,979404,1009421
61603,PL,POL,616,,,Lubelskie,Poland,51.2494,23.1011,"Lubelskie, Poland",2117619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349375,360556,371359,379435,380284,380284,380308,380308,380308,413070,425668,430409,431598,436891,436891,447175,475617,487685,491705,493085,499244,510662,510662,542661,555285,555285,563362,570985,583978,,620905,620905,641321,643656,645000,656299,675603,675603,675603,675603,675603,675603,675603,769904,791502
61604,PL,POL,616,,,Lubuskie,Poland,52.2275,15.2559,"Lubuskie, Poland",1014548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152171,157940,163540,168901,171282,171282,171603,171603,171603,188693,195447,200121,202383,204973,204973,210257,224340,229907,232676,233819,236936,242037,242037,257738,264638,264638,271149,275079,281931,,300819,300819,312851,314744,316355,323272,335607,335607,335607,335607,335607,335607,335607,391931,402803
61606,PL,POL,616,,,Malopolskie,Poland,49.7225,20.2503,"Malopolskie, Poland",3400577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496358,512077,526408,537314,539458,539458,539792,539792,539792,585573,602511,614847,618390,625651,625651,640348,682667,701905,716503,721289,730244,746942,746942,797228,819607,819607,846414,857887,876960,,934022,934022,965193,968887,971204,987737,1015937,1015937,1015937,1015937,1015937,1015937,1015937,1183383,1219566
61607,PL,POL,616,,,Mazowieckie,Poland,51.8927,21.0022,"Mazowieckie, Poland",5403412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949199,978301,1008277,1030637,1038635,1038635,1041399,1041399,1041399,1132389,1165748,1188979,1198746,1214601,1214601,1244484,1320647,1354103,1377873,1388263,1407062,1437742,1437742,1525314,1563838,1563838,1609127,1629739,1664383,,1764104,1764104,1821005,1835064,1842920,1873001,1923578,1923578,1923578,1923578,1923578,1923578,1923578,2215272,2277556
61608,PL,POL,616,,,Opolskie,Poland,50.8004,17.938,"Opolskie, Poland",986506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153866,158558,163271,166332,166925,166925,166925,166925,166925,180670,185792,188091,188296,190773,190773,195102,207638,212242,214684,214858,217977,222791,222791,238206,245038,245038,249358,253302,260168,,281367,281367,295186,297680,299569,304314,316927,316927,316927,316927,316927,316927,316927,377219,388869
61609,PL,POL,616,,,Podkarpackie,Poland,50.0575,22.0896,"Podkarpackie, Poland",2129015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320948,331932,342927,352248,355737,355737,356276,356276,356276,384116,394912,402859,405315,408984,408984,416397,440726,452402,459175,462411,467005,475835,475835,505033,516771,516771,532005,538155,548680,,582106,582106,605553,612410,619076,631211,649372,649372,649372,649372,649372,649372,649372,749060,767867
61610,PL,POL,616,,,Podlaskie,Poland,53.0697,22.9675,"Podlaskie, Poland",1181533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206057,212599,219221,224967,225804,225804,225944,225944,225944,244108,251087,255070,256316,257792,257792,263080,280822,288380,291981,292606,295178,301379,301379,321291,330309,330309,336709,340852,350022,,375207,375207,386922,390735,393099,400215,413537,413537,413537,413537,413537,413537,413537,486356,501730
61611,PL,POL,616,,,Pomorskie,Poland,54.2944,18.1531,"Pomorskie, Poland",2333523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402444,414127,424966,434458,437059,437059,437934,437934,437934,474552,487403,496044,497753,503714,503714,515040,545850,558841,567897,569811,577339,591557,591557,629134,646915,646915,664103,676424,694953,,748486,748486,776469,780079,784284,803473,830307,830307,830307,830307,830307,830307,830307,981522,1012320
61612,PL,POL,616,,,Slaskie,Poland,50.5717,19.322,"Slaskie, Poland",4533565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649869,670493,693074,711426,714893,714893,717650,717650,717650,792511,822519,846507,855341,868562,868562,891908,951781,976070,994085,999751,1010772,1033700,1033700,1102455,1132625,1132625,1168889,1184104,1213068,,1303380,1303380,1352616,1360192,1364504,1389563,1438499,1438499,1438499,1438499,1438499,1438499,1438499,1707163,1767014
61613,PL,POL,616,,,Swietokrzyskie,Poland,50.6261,20.9406,"Swietokrzyskie, Poland",1241546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174966,180050,185661,189798,190299,190299,190525,190525,190525,207136,212798,217069,217657,220082,220082,225028,239608,245599,249378,249996,252716,258389,258389,276415,284748,284748,292014,295503,304009,,325644,325644,339021,340024,340718,346419,357597,357597,357597,357597,357597,357597,357597,417853,429907
61614,PL,POL,616,,,Warminsko-mazurskie,Poland,53.8671,20.7028,"Warminsko-mazurskie, Poland",1428983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221024,228489,236098,241403,242175,242175,242542,242542,242542,263410,270879,275721,277589,281167,281167,287325,305228,311608,314909,315964,320339,327601,327601,347177,355877,355877,362572,367853,376688,,401982,401982,414116,415780,416915,424823,436405,436405,436405,436405,436405,436405,436405,504781,518695
61615,PL,POL,616,,,Wielkopolskie,Poland,52.28,17.3523,"Wielkopolskie, Poland",3493969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519581,535449,552897,567074,570676,570676,571304,571304,571304,622987,642041,655279,659732,668467,668467,684283,730089,750313,763998,768815,779213,796511,796511,848077,871761,871761,898071,910502,931275,,995001,995001,1029241,1032003,1034290,1053222,1086363,1086363,1086363,1086363,1086363,1086363,1086363,1272853,1311415
