Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
Sumy Oblast,Ukraine,2021-07-04,85799,,,2021/07/04,80421
Ternopil Oblast,Ukraine,2021-07-04,69873,,,2021/07/04,80422
Unassigned,Ukraine,2021-07-04,0,,,2021/07/04,80428
Vinnytsia Oblast,Ukraine,2021-07-04,124147,,,2021/07/04,80423
Volyn Oblast,Ukraine,2021-07-04,61917,,,2021/07/04,80424
Zakarpattia Oblast,Ukraine,2021-07-04,67925,,,2021/07/04,80425
Zaporizhia Oblast,Ukraine,2021-07-04,97201,,,2021/07/04,80426
Zhytomyr Oblast,Ukraine,2021-07-04,85819,,,2021/07/04,80427
,United Arab Emirates,2021-07-04,15504238,5081853,3836521,2021/07/04,784
,United Kingdom,2021-07-04,79191308,45013503,33241265,2021/07/04,826
Anguilla,United Kingdom,2021-07-04,15789,,,2021/07/04,660
Bermuda,United Kingdom,2021-07-04,80722,,,2021/07/04,60
Cayman Islands,United Kingdom,2021-07-04,93748,,,2021/07/04,136
England,United Kingdom,2021-07-04,65932869,,,2021/07/04,82601
Falkland Islands (Malvinas),United Kingdom,2021-07-04,4407,,,2021/07/04,238
Gibraltar,United Kingdom,2021-07-04,78089,,,2021/07/04,292
Isle of Man,United Kingdom,2021-07-04,108637,,,2021/07/04,833
Montserrat,United Kingdom,2021-07-04,2640,,,2021/07/04,500
Northern Ireland,United Kingdom,2021-07-04,2054420,,,2021/07/04,82602
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-07-04,7892,,,2021/07/04,654
Scotland,United Kingdom,2021-07-04,6593744,,,2021/07/04,82603
Wales,United Kingdom,2021-07-04,3956875,,,2021/07/04,82604
,Uruguay,2021-07-04,4059766,2293845,1748071,2021/07/04,858
,Uzbekistan,2021-07-04,3541442,2074701,1199541,2021/07/04,860
,Venezuela,2021-07-04,1466988,1223130,223858,2021/07/04,862
,Vietnam,2021-07-04,3842646,3628241,214405,2021/07/04,704
,World,2021-07-04,3170667030,1828642209,858361821,2021/07/04,
,Zambia,2021-07-04,158786,142125,16661,2021/07/04,894
,Zimbabwe,2021-07-04,1332438,777161,555277,2021/07/04,716
