date,policy
"March 26, 2020"," The Governor launched a new online resource in the state that outlines the ways the people of Maine can support relief efforts. It outlines 4 ways help can be provided:

Financial assistance


Healthcare and medical assistance


Small business assistance


Connections with family, friends, and neighbors

"
"March 27, 2020", The Governor encouraged citizens to safely support local businesses through efforts like PayitForwardMaine while being mindful of crucial physical distancing guidelines and using online transactions or pickup and delivery services.
"March 27, 2020", The Governor extended boating registration renewal period until April 30 due to COVID-19.
"March 30, 2020", The Governor signed an executive order to fast track free online job training at Maines community colleges
"March 30, 2020", The Governor announced that her office is accelerating pay increases for personal care workers and expanding access to meals for older Mainers who are home-bound because of COVID-19.
"March 31, 2020", The Governor issued a stay-at-home order for the state that will continue to April 30th.
"March 31 – The Governor signed an executive order to allow families who rely on TANF to request an emergency extension to continue receiving benefits beyond the 60, 2020",March 31  The Governor signed an executive order to allow families who rely on TANF to request an emergency extension to continue receiving benefits beyond the 60-month lifetime limit.
"April 1, 2020", The Governor requested a major disaster declaration from the federal government.
"April 1, 2020", The Governor extended the state property tax deadline.
"April 3, 2020"," The Governor signed an executive order mandating that travelers arriving in Maine, regardless of their state of residency, self-quarantine for 14 days. "
"April 4, 2020", The Governor announced that the President has approved her request for a major disaster declaration for the State of Maine. 
"April 7, 2020"," The Governor signed an executive order to further expand access to health care by taking additional steps to bolster the health care workforce, expand telehealth services, and temporarily alleviate certain licensing requirements. "
"April 7, 2020", The Governor directed the Maine National Guard and the Maine Emergency Management Agency (MEMA) to work with Maines health care systems to open two alternative care sites in Portland and Bangor as part of the States preparations to bolster Maine health system capacity. 
"April 7, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Maines request for a Section 1135 Medicaid waiver. The approved waiver enables Maine to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan."
"April 8, 2020", The Governor signed an executive order allowing remote notarizations. 
