UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13
84000049,US,USA,840,49,,Utah,US,40.15,-111.8624,"Utah, US",3205958,,,,407,407,3648,6520,8518,11380,14822,14822,14822,16924,16992,17543,20417,23970,30200,30200,46374,47382,48575,55981,60462,68030,77228,87670,91799,93127,100632,116659,125926,136156,149697,157170,168908,168908,172603,181169,193777,207127,222275,228348,229575,237637,250448,267027,281797,300516,310692,311785,325457,345179,362701,382881,404085,413937,506629,510267,510267,510267,510267,512189,524000,525033,532985,551068,563608,584648,610074,610580,611910,623876,641881,662012,682536,702293,716536,721029,741297,759533,785671,820874,850982,867118,867118,892652,918506,958080,990601,1033125,1033125,1034894,1051973,1080232,1108053,1140231,1166862,1182227,1184825,1209387,1237861,1264893,1294946,1323163,1338384,1341674,1366285,1399371,1447314,1489761,1524221,1539524,1541973,1574029,1613280,1650850,1683737,1703065,1708002,1738003,1768246,1808824,1852460,1880269,1897531,1918236,1918236,1950894,1985296,2014815,2035354,2039298,2053317,2073225,2097937,2124832,2146777,2167644,2174205,2184859,2184859,2225385,2243163,2261285,2284307,2307037,2315869,2342020,2342203,2367479
84000050,US,USA,840,50,,Vermont,US,44.0459,-72.7107,"Vermont, US",623989,,20,399,1160,2453,2835,3070,3716,4374,5307,7444,8057,8229,9139,9930,11157,11157,11157,11157,11157,11157,11157,17657,17657,17657,21352,21352,21352,21352,26575,29465,32359,34700,34700,34700,34700,34700,40670,42683,46292,51711,51711,51711,51711,55211,58686,61546,66979,66979,66979,66979,74514,76986,79826,82758,86935,87180,90328,93601,96635,99757,102427,106490,106787,106787,115658,117868,120781,127619,132112,137144,144085,144085,144970,147828,151538,156929,162558,168050,171557,173179,175767,179580,184327,198741,198741,203900,207110,212062,217495,231610,231610,239136,243777,247912,252439,262873,266120,274187,277420,283052,286766,293233,296682,303242,310003,316145,323388,328451,333676,341568,360030,360745,370232,376259,379673,400704,410891,416718,427958,441375,447009,456883,465933,475112,475112,482794,496506,502436,506652,515379,515788,525641,537515,548108,554809,561931,569228,579479,580936,589665,598705,604835,610256,615399,631483,632395,639833,650958,655342,661090
84000051,US,USA,840,51,,Virginia,US,37.7693,-78.17,"Virginia, US",8535519,,,,,,,,,19506,19943,31491,37712,38172,41660,44976,47052,54295,64882,75288,81770,87618,89326,104083,116247,139754,148909,167452,177945,189283,200402,216257,242530,268330,295202,316812,324965,324965,360051,360051,399317,443760,474979,522853,522853,569040,641873,697914,697914,758477,843230,873468,901213,922940,963953,1022150,1072748,1105102,1135639,1161590,1191875,1223199,1298573,1330305,1367319,1399221,1431501,1471242,1503786,1645485,1671217,1705294,1765927,1765927,1803505,1848774,1922788,2002734,2086194,2136926,2171427,2220648,2284452,2342449,2392680,2486429,2486429,2553714,2616782,2685399,2753938,2892286,2892286,2951945,2987320,3027633,3091883,3165336,3243652,3309153,3360330,3389780,3469776,3529449,3615169,3668360,3778349,3867013,3977862,4056991,4140842,4252753,4375147,4485753,4538309,4591413,4666333,4849229,4960277,5071677,5124981,5184004,5268328,5345259,5482281,5593318,5673591,5740358,5807003,5873177,5968173,6082952,6196880,6271814,6344228,6402272,6457715,6540658,6643728,6751219,6826662,6847737,6847737,6947022,7043683,7126510,7185843,7233201,7304153,7347888,7395989,7451290
84000053,US,USA,840,53,,Washington,US,47.4009,-121.4905,"Washington, US",7614893,,27,1600,4318,12195,17983,21855,28701,35160,43025,48427,48708,55108,59814,69099,81332,93311,102038,103460,111857,116741,125743,135780,148274,162516,179152,191152,198199,211073,224779,235744,235744,235744,235744,235744,235744,235744,294386,335836,335836,391195,391195,391195,500105,500105,545226,545226,616589,616589,616589,728636,741769,773346,797358,833935,867773,905118,942166,951204,1008946,1040044,1080510,1121779,1166471,1166471,1201284,1225920,1255764,1362197,1407229,1444507,1493572,1493572,1514416,1562425,1609190,1666839,1729208,1800030,1841160,1888198,1942877,2001032,2071467,2213284,2213284,2255182,2303420,2381471,2441777,2562529,2562529,2626048,2665688,2705839,2763105,2823446,2889480,2972560,3045597,3068976,3108315,3170650,3251437,3330877,3419568,3501641,3537203,3586736,3659886,3745391,3834378,3928519,4015071,4041494,4096497,4256546,4343950,4435641,4526964,4578156,4641399,4712952,4786678,4874563,4965443,5050192,5087896,5149883,5224178,5316416,5397121,5486098,5574043,5613491,5668118,5747171,5828363,5907522,5983715,6041337,6041337,6099153,6162034,6223705,6293784,6367124,6455671,6503438,6545096,6603947
84000054,US,USA,840,54,,West Virginia,US,38.4912,-80.9545,"West Virginia, US",1792147,,,,,1830,5450,5450,5450,5450,15914,26487,28623,28626,29675,30737,34474,44885,44885,49037,49807,51646,52221,56354,60933,66792,77156,88128,90645,105539,107245,117130,126457,146937,150897,153219,153692,156373,160199,169190,182460,182460,197220,206616,212875,217329,227058,242437,258958,262349,262880,266773,270250,278971,294059,317282,324439,325781,330217,335307,343519,354063,378774,389249,389249,391186,396348,398635,405839,440614,458087,463513,470643,470643,474477,485535,501913,526059,532295,534053,536534,541453,553449,583230,594118,602407,602407,606345,611113,626149,656270,684336,684336,686081,689649,695358,737730,737730,756418,763619,764903,769358,829300,829300,829300,846624,856921,857701,866037,874459,896388,930090,943140,946710,946918,952022,959003,1056510,1082248,1096466,1096787,1104774,1114670,1127861,1146914,1150742,1159846,1162079,1169417,1179328,1191114,1209768,1223131,1228859,1230919,1235598,1242647,1255597,1270519,1280213,1283020,1284646,1287187,1294506,1302220,1311329,1319358,1323420,1331345,1334740,1339044,1343561
84000055,US,USA,840,55,,Wisconsin,US,44.2685,-89.6165,"Wisconsin, US",5822434,,,,,,,12097,17082,23015,32328,36005,36290,39036,40730,47157,47157,47157,47157,47157,47157,47157,47157,85609,85609,110207,123402,123402,123402,151518,163371,176165,195152,213056,213056,213056,239102,239102,248185,248185,285358,310256,310256,310256,345017,362505,389240,432102,476855,521762,544234,551963,578336,659025,659025,702090,740526,761212,767020,793474,822910,860389,901333,940205,965999,976049,996591,1023576,1070199,1159390,1188631,1230619,1259647,1259647,1282723,1314188,1359943,1421435,1470570,1500923,1521200,1553270,1596290,1656753,1721352,1804918,1812456,1812456,1839822,1881901,1944768,2072866,2072866,2107896,2130926,2160948,2210128,2271149,2343615,2422908,2462081,2480311,2516425,2576727,2654772,2736745,2808953,2853949,2870834,2905410,2969294,3049407,3140168,3208168,3250426,3259060,3294426,3461130,3558061,3652477,3710175,3726777,3759176,3807818,3890347,3982152,4061288,4128223,4145118,4178933,4240048,4328174,4394643,4457053,4490374,4502240,4533803,4580372,4644336,4700739,4741771,4761542,4761542,4786435,4830952,4874656,4917970,4961248,4993227,5005275,5023324,5052032
84000056,US,USA,840,56,,Wyoming,US,42.756,-107.3025,"Wyoming, US",578759,,,,,,,,,1868,2865,2865,2865,2865,2865,3033,4832,5466,7472,7472,7829,7829,8383,8928,8928,9611,12996,13236,13236,13236,13236,18928,22266,25196,26423,26563,26563,26563,29170,33414,33414,35976,38191,38191,38191,40981,43992,46775,46775,46775,56831,56831,60317,60775,60775,67600,71858,71858,76457,76457,83554,92603,92603,95682,99099,99099,100186,101245,108535,124310,129060,129470,136163,136163,136366,141545,145577,151584,156397,156741,156912,162918,163194,166712,177496,185580,185580,185813,190180,190570,199232,211910,211910,212499,213969,214015,214050,220735,220993,221336,221452,235171,235424,242919,243336,243604,244038,261950,261963,262406,270226,270599,270862,286685,286966,288270,288586,289028,289340,310702,310765,314169,317111,317222,323397,323593,323699,323956,332765,332929,337560,340781,340893,341127,348679,348695,348883,353401,356057,358222,358512,358545,358545,363149,363390,367548,369771,369975,370014,373337,374624,374754
16,AS,ASM,16,60,,American Samoa,US,-14.271,-170.132,"American Samoa, US",55641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756,5313,5664,6569,6831,8046,8046,8315,9085,9085,9925,9925,9925,10761,10761,11066,11257,12029,12259,12259,12259,12680,13318,13513,15032,15382,15382,15382,16109,16269,16269,16269,17740,18778,18816,18816,19739,19739,20336,20338,20338,20338,21079,21079,21625,21625,21625,21625,21625,21625,23696,23696,23696,23696,23696,24300,24300,24300,24300,24300,24300,24300,27015,27263,27837,27864,28503,28527,28527,28527,29079,31167,31167,31761,31761,31775,31775,31775,32856,33545,33545,34165,34165,34165,34786,34786,35972,35972,35972,35972,35972,36093,36093,37231,37231,37590,37590,37808,37808,38337,38743,38743,38743,38743,38743,39268,39268,39666,39666,39666,39666,39666,39666,40091
316,GU,GUM,316,66,,Guam,US,13.4443,144.7937,"Guam, US",164229,,,,455,1018,1394,1394,1394,1931,2158,2158,2158,2158,2158,2158,2158,3439,4241,4241,4241,4241,4241,4241,5179,5448,5448,5448,5448,10014,11314,11406,12637,13285,13913,13913,13913,14477,15460,16634,17620,17620,17620,19917,20900,22049,23588,25248,26846,28183,28183,28427,29504,31882,32586,33623,35337,35395,35816,36874,38296,39203,40524,41672,41672,41918,43254,44620,45766,46897,48387,48479,50500,50500,51514,52661,52701,54244,55213,55255,55402,55435,56131,56407,56477,56587,56587,58396,60379,62062,63697,66513,66513,66607,67081,68451,70056,71940,72069,72090,73973,75724,77636,79350,81396,81649,83164,84899,85003,87540,88590,90114,91630,91702,91896,91958,95485,99042,99244,100199,100274,103334,105497,107691,109318,111738,111738,113112,114836,117134,119005,120740,122238,122331,123487,124898,126333,368020,368926,369376,369378,369688,369688,370246,370515,370808,370808,371248,371387,371809,371809,372176
580,MP,MNP,580,69,,Northern Mariana Islands,US,15.0979,145.6739,"Northern Mariana Islands, US",55144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3100,3100,3100,3100,3100,6372,5970,5970,5970,5970,8558,8796,9023,9249,9544,9544,9544,10144,10402,10644,10953,11319,11332,11697,11920,12267,12533,12533,12971,12971,13394,13754,14518,14745,14745,15527,15527,15527,16425,16748,17072,17074,17816,17819,18121,18577,18886,19232,19580,19921,19921,20309,20398,20702,21040,21370,21649,21649,22134,22134,22595,22923,23256,23698,23700,24203,24886,25196,25642,26010,26433,26450,26987,27736,28114,28557,28935,29446,29446,29446,30204,30696,31168,31634,31654,32229,32894,32894,33329,33791,34303,34720,35338,36062,36160,36551,36864,37240,37552,38005,38337,38485,38913,39293,39728,40089,40425,40842,40842,40842,41640,42045,42348,42758,43058,43058,43382,43601,43854
